Device,Kernel,M,N,K,Total Problem Size (KiB),sparsity,Iterations,Total Seconds,GFLOP/s
gpu_offloadOnce,sgemm,80,80,80,75.000,0.99000001,2,0.00600,0.343
gpu_offloadAlways,sgemm,80,80,80,75.000,0.99000001,2,0.00648,0.318
gpu_unified,sgemm,80,80,80,75.000,0.99000001,2,0.00727,0.284
cpu,sgemm,81,81,81,76.887,0.99000001,2,0.00192,1.115
gpu_offloadOnce,sgemm,81,81,81,76.887,0.99000001,2,0.00636,0.336
gpu_offloadAlways,sgemm,81,81,81,76.887,0.99000001,2,0.00686,0.312
gpu_unified,sgemm,81,81,81,76.887,0.99000001,2,0.00744,0.287
cpu,sgemm,82,82,82,78.797,0.99000001,2,0.00193,1.151
gpu_offloadOnce,sgemm,82,82,82,78.797,0.99000001,2,0.00628,0.353
gpu_offloadAlways,sgemm,82,82,82,78.797,0.99000001,2,0.00670,0.331
gpu_unified,sgemm,82,82,82,78.797,0.99000001,2,0.00749,0.296
cpu,sgemm,83,83,83,80.730,0.99000001,2,0.13039,0.018
gpu_offloadOnce,sgemm,83,83,83,80.730,0.99000001,2,0.00728,0.316
gpu_offloadAlways,sgemm,83,83,83,80.730,0.99000001,2,0.00741,0.311
gpu_unified,sgemm,83,83,83,80.730,0.99000001,2,0.00811,0.284
cpu,sgemm,84,84,84,82.688,0.99000001,2,0.00216,1.103
gpu_offloadOnce,sgemm,84,84,84,82.688,0.99000001,2,0.00712,0.335
gpu_offloadAlways,sgemm,84,84,84,82.688,0.99000001,2,0.00772,0.309
gpu_unified,sgemm,84,84,84,82.688,0.99000001,2,0.00853,0.279
cpu,sgemm,85,85,85,84.668,0.99000001,2,0.14039,0.018
gpu_offloadOnce,sgemm,85,85,85,84.668,0.99000001,2,0.00788,0.314
gpu_offloadAlways,sgemm,85,85,85,84.668,0.99000001,2,0.00819,0.302
gpu_unified,sgemm,85,85,85,84.668,0.99000001,2,0.00873,0.283
cpu,sgemm,86,86,86,86.672,0.99000001,2,0.00240,1.066
